product_id,product_name,product_title,product_category_id,product_deeplink,product_image,product_price
899-MW0MW156031BB-37,Tommy Hilfiger,"Tommy Hilfigerin farkuissa on hiukan väljä istuvuus, suoralla lahkeella. Materiaali on joustavaa puuvilla-elastaania.","4, 11, 44, 94, 209",https://www.kekale.fi/tommy-hilfiger-miesten-farkut-straight-denton-boston-nos-indigo,https://www.kekale.fi/media/catalog/product/t/o/tommy-hilfiger-miesten-farkut-straight-denton-boston-nos-indigo-1.jpg,"99,95"
325-16074481-32,Selected Femme,"Selected Femmen ihastuttava neuletakki, joka on valmistettu pehmeästä ja laadukkaasta villasekoitteesta. Neulottu pinta, .pyöreä pääntie ja näyttävät napit edessä.","3, 6, 25, 76, 209",https://www.kekale.fi/selected-femme-naisten-neuletakki-lulu-ls-knit-short-cardigan-vaaleansininen,https://www.kekale.fi/media/catalog/product/s/e/selected-femme-naisten-neuletakki-lulu-ls-knit-short-cardigan-vaaleansininen-1.jpg,"69,99"
884-16074684-01,Selected,"Selectedin yksivärinen, pehmeä ja tyylikäs poolokauluksinen neule. Poolokaulus, hahansuut, sekä helma ryhdiskästä ribbineulosta. Poolokauluksinen neule sopii erinomaisesti bleiserin ja chinojen kanssa. Klassikkopaita jokaisen miehen vaatekaappiin!","4, 11, 42, 87, 209",https://www.kekale.fi/selected-miesten-pooloneule-berg-roll-neck-valkoinen,https://www.kekale.fi/media/catalog/product/s/e/selected-miesten-pooloneule-berg-roll-neck-valkoinen-1.jpg,"39,99"
884-16079924-02,Selected,"Selectedin klassisen tyylikäs neulepaita, joka on valmistettu pehmeästä luomupuuvillasta. Normaali istuvuus, pyöreä pääntie ja joustava joustinneulos pääntiellä, hihansuissa ja helmassa. Neulottu kuviopinta.","4, 11, 42, 87, 209",https://www.kekale.fi/selected-miesten-neulepaita-irven-ls-knit-nos-luonnonvalkoinen,https://www.kekale.fi/media/catalog/product/s/e/selected-miesten-neulepaita-irven-ls-knit-nos-luonnonvalkoinen-1.jpg,"49,99"
463-F00022152-SP22-55,Samsoe and Samsoe,"Samsoe&Samsoen pörröpintainen villaneule väljää mitoitusta. O-pääntie, raglanhihat, helmassa löysä resori.","3, 6, 25, 75, 209",https://www.kekale.fi/samsoe-and-samsoe-naisten-neulepaita-nor-o-n-short-ruohonvihrea-6,https://www.kekale.fi/media/catalog/product/s/a/samsoe-and-samsoe-naisten-neulepaita-nor-o-n-short-ruohonvihrea-1_1.jpg,129
325-16082706-62,Selected Femme Naisten Paita SLFNALLIE LS RUFFLED LONG SHIRT Vaaleanpunainen,"Paitakaulus, edessä napitus, säädettävät kalvosimet. Kauluksessa, nappilistassa ja kalvosinten reunassa kapeat frillat. Ylisuuri istuvuus. Kiva paita kapeiden farkkujen ja rentojen bootsien kanssa.","3, 6, 26, 78, 209",https://www.kekale.fi/selected-femme-naisten-paita-slfnallie-ls-ruffled-long-shirt-vaaleanpunainen,https://www.kekale.fi/media/catalog/product/s/e/selected-femme-naisten-paita-slfnallie-ls-ruffled-long-shirt-vaaleanpunainen-1.jpg,"69,99"
3941911,Calvin Klein Accessories Naisten Laukku TWISTED OVERSIZE HOBO  Musta,"Naisten tilava ostoslaukku keinonahkaa. Suljetaan vetoketjulla, sisäpuolella vetoketjullinen tasku. Olkahihnat eivät säädettävät, pituus 26 cm.Koko:  K: 62cm / L: 51cm /  S: 3.5cm","3, 6, 9, 162, 209, 38",https://www.kekale.fi/calvin-klein-accessories-naisten-laukku-twisted-oversize-hobo-musta,https://www.kekale.fi/media/catalog/product/c/a/calvin-klein-accessories-naisten-laukku-twisted-oversize-hobo-musta-1.jpg,"149,90"
325-16083874-02,Selected Femme Naisten Neuletakki SLFWHITNEY CASHMERE LS ROBE CARDIGAN Luonnonvalkoinen,"Pehmeästä villan ja kashmirin sekoitteesta valmistettu neuletakki. Edessä taskut, mukana erillinen vyö. Resorit hihojen suissa sekä helmassa.PItuus koossa M 127 cm.","3, 6, 25, 75, 209",https://www.kekale.fi/selected-femme-naisten-neuletakki-slfwhitney-cashmere-ls-robe-cardigan-luonnonvalkoinen,https://www.kekale.fi/media/catalog/product/3/2/325-16083874-02-1.jpg,"239,99"
340-220121555-85,Only and Sons Miesten Ruutupaita GUDMUND UNBRUSHED CHECK Vihreä Ruutu,"Miesten muodikas puuvillainen ruutupaita, kapea istuvuus. Pituus koossa L 78 cm.","4, 11, 90, 209",https://www.kekale.fi/only-and-sons-miesten-ruutupaita-gudmund-unbrushed-check-vihrea-ruutu,https://www.kekale.fi/media/catalog/product/o/n/only-and-sons-miesten-ruutupaita-gudmund-unbrushed-check-vihrea-ruutu-1.jpg,"26,99"
561-ALEXIA-99,Bukela Naisten Saappaat ALEXIA Musta,"Puoleen sääreen ulottuvat kauniit saappaat ovat edelleen yksi ajan suurimmista trendeistä. Paksu elastinen ribbineulosvarsi ja nahkainen teräosa sopii täydellisesti kaikille jalkatyypeille. Korko 4 cm, pohjan paksuus 3 cm.HUOMIOITAVAA! Ethän vedä varrensuun lenkeistä, ne ovat vain koristeita.","3, 6, 135, 209",https://www.kekale.fi/bukela-naisten-saappaat-alexia-musta,https://www.kekale.fi/media/catalog/product/b/u/bukela-naisten-saappaat-alexia-musta-1.png,219
367-55768-93,Second Female Naisten Tunikamekko ARONIA Sininen Kuosi,"Second Female naisten tunikamekko, jossa väljä istuvuus ja kapea kangasvyö vyötäröllä. Mandariinikaulus, piilopainonapit edessä. Väljät pussihihat, hihansuissa halkio ja napit.","3, 6, 29, 209, 85",https://www.kekale.fi/second-female-naisten-tunikamekko-aronia-sininen-kuosi,https://www.kekale.fi/media/catalog/product/s/e/second-female-naisten-tunikamekko-aronia-sininen-kuosi-1.jpg,165
381-56879-32,Isay Naisten Paita BELLIS FLOUNCE SHIRT Vaaleansininen,"Naisten pitkähihainen paita mandariinikauluksella. Piilonapitus, rinnan korkeudelle saakka sievät frillat napituksen molemmin puolin. A-linjainen helma.","3, 6, 26, 78, 209",https://www.kekale.fi/isay-naisten-paita-bellis-flounce-shirt-vaaleansininen,https://www.kekale.fi/media/catalog/product/i/s/isay-naisten-paita-bellis-flounce-shirt-vaaleansininen-1.jpg,"69,95"
10-256397-15,Ted Baker Miesten Neulepaita CORE POLO 100% MERINO Keskiruskea,"Miesten lyhythihainen, kauluksellinen neulepaita ohutta merinovillaa. Edessä lyhyt napitus, kolme nappia.","4, 11, 43, 91, 209",https://www.kekale.fi/ted-baker-miesten-neulepaita-core-polo-100-merino-keskiruskea,https://www.kekale.fi/media/catalog/product/t/e/ted-baker-miesten-neulepaita-core-polo-100-merino-keskiruskea-1.jpg,"104,90"
407-30306794-AD-99,Part Two Naisten Jerseyhousut AD KIREN PANT Musta,"Naisten vajaamittaiset housut paksumpaa jerseytä. Joustava vyötärö, kaksi sivutaskua, leveät lahkeet. Lahkeenpituus koossa M 66 cm.","3, 6, 27, 209, 130",https://www.kekale.fi/part-two-naisten-jerseyhousut-ad-kiren-pant-musta,https://www.kekale.fi/media/catalog/product/p/a/part-two-naisten-jerseyhousut-ad-kiren-pant-musta-1.jpg,"79,95"
463-F21300184-AD-63,Samsoe and Samsoe Naisten Mekko AD ANNMARI DRESS 6621 Pinkki,"Tilava laskostettu midi-mekko, jossa pitkät raglanhihat. Päällystetyt napit hihansuissa ja takana pääntiellä halkion reunassa. Vuorillinen.  Hihoissa ei vuoria. Pliseerattua, kierrätettyä polyesterisekoituskangasta.","3, 6, 29, 209, 130",https://www.kekale.fi/samsoe-and-samsoe-naisten-mekko-ad-annmari-dress-6621-pinkki,https://www.kekale.fi/media/catalog/product/s/a/samsoe-and-samsoe-naisten-mekko-ad-annmari-dress-6621-pinkki-1.jpg,159
546-50108320-710,Culture Naisten Paita ANNEMARIE STRIPE PULLOVER Raidallinen Beige,"Naisten raidallinen, pitkähihainen paita, rento istuvuus. Pituus koossa S 68 cm.","3, 6, 25, 75, 209, 130",https://www.kekale.fi/culture-naisten-paita-annemarie-stripe-pullover-raidallinen-beige,https://www.kekale.fi/media/catalog/product/c/u/culture-naisten-paita-annemarie-stripe-pullover-raidallinen-beige-1.jpg,"69,95"
463-F19123672-48,Samsoe and Samsoe,"Samsoe&Samsoen rento, lyhythihainen kauluspaita. Valmistettu kevyestä ja joustavasta materiaalista, joka laskeutuu kauniisti. Skarpit kaulukset, käännetyt hihansuut, napitus edessä ja pyöristetty helma.","3, 6, 26, 78, 209, 130",https://www.kekale.fi/samsoe-and-samsoe-naisten-lyhythihainen-kauluspaita-majan-ss-shirt-9942-oranssi,https://www.kekale.fi/media/catalog/product/s/a/samsoe-and-samsoe-naisten-lyhythihainen-kauluspaita-majan-ss-shirt-9942-oranssi-1.jpg,69
884-16074054-GREEN-55,Selected Miesten Housut SLIM MILES GREEN Ruohonvihreä,"Miesten rennot housut luomupuuvillaa, mukana ripaus elastaania mukavuutta lisäämässä. Housut sopivat erinomaisesti yhteen muodikkaan printtipaidan ja rennon neuleen kanssa.","4, 11, 44, 142, 209, 131",https://www.kekale.fi/selected-miesten-housut-slim-miles-green-ruohonvihrea,https://www.kekale.fi/media/catalog/product/s/e/selected-miesten-housut-slim-miles-green-ruohonvihrea-1.jpg,"59,99"
98-30205683-10,Matinique Miesten Housut  PETE 5-POCKET Beige,"Miesten joustavat, viisitaskumalliset puuvillahousut. Normaali vyötärön korkeus, normaali istuvuus.","4, 11, 44, 142, 209, 131",https://www.kekale.fi/matinique-miesten-housut-pete-5-pocket-beige,https://www.kekale.fi/media/catalog/product/m/a/matinique-miesten-housut-pete-5-pocket-beige-1.jpg,"99,95"
850-14071478-06,Vila Naisten Paita VIPOLINEA LS OVERSIZE SHIRT Vaalea Beige,"Naisten pitkähihainen paita, edessä napitus, paitakaulus ja rinnassa yksi tasku. Hihansuissa napilliset kalvosimet. Helma sivuilta pyöristetty.","3, 6, 26, 209, 130",https://www.kekale.fi/vila-naisten-paita-vipolinea-ls-oversize-shirt-vaalea-beige,https://www.kekale.fi/media/catalog/product/v/i/vila-naisten-paita-vipolinea-ls-oversize-shirt-vaalea-beige-1.jpg,"49,99"
367-55745-999,Second Female Naisten Mekko DAVIDA NEW DRESS Musta Kuosi,"Naisten kuosillinen maximekko läpikuultavaa kangasta. Paitakaulus, edessä napitus rinnankorkeudelle. Lyhyet kimonohihat. Suora istuvuus. Mekossa on alusmekko.","3, 6, 29, 209, 130",https://www.kekale.fi/second-female-naisten-mekko-davida-new-dress-musta-kuosi,https://www.kekale.fi/media/catalog/product/k/e/keka_le-spring22-11.jpg,145
527-142520-06,Mos Mosh Naisten Housut,Naisten vajaamittaiset leveälahkeiset housut. Joustava vyötärö ja taskut sivuilla.,"3, 6, 27, 123, 209, 130",https://www.kekale.fi/mos-mosh-naisten-housut-zuri-crisp-pant-vaalea-beige,https://www.kekale.fi/media/catalog/product/m/o/mos-mosh-naisten-housut-zuri-crisp-pant-vaalea-beige-1.jpg,109
537-M90014-001-01,Makia,"Miesten klassiset matalat tennarit, valmistettu nahasta.","4, 11, 12, 209, 131",https://www.kekale.fi/makia-miesten-kengat-borough-valkoinen,https://www.kekale.fi/media/catalog/product/m/a/makia-miesten-kengat-borough-valkoinen-1.png,119
537-M22064-219-74,Makia Miesten Pitkähihainen T-paita VERKSTAD LONGSLEEVE Raidallinen Keltainen,"Miesten pitkähihainen t-paita, raidallinen kuosi. Normaali istuvuus.","4, 11, 43, 92, 209, 131",https://www.kekale.fi/makia-miesten-pitkahihainen-t-paita-verkstad-longsleeve-raidallinen-keltainen,https://www.kekale.fi/media/catalog/product/m/a/makia-miesten-pitkahihainen-t-paita-verkstad-longsleeve-raidallinen-keltainen-1.png,55
884-16074682-35,Selected Miesten Neule BERG CREW NECK  Kirkkaansininen,"Miesten pitkähihainen neule, pyöreä pääntie. Olkapäillä neulotut yksityiskohdat, helmassa ja hihansuissa resorit.  Valmistettu pehmeästä pimapuuvillasta.","4, 11, 42, 87, 209, 131",https://www.kekale.fi/selected-miesten-neule-berg-crew-neck-kirkkaansininen,https://www.kekale.fi/media/catalog/product/s/e/selected-miesten-neule-berg-crew-neck-kirkkaansininen-1.jpg,"39,99"
